210: 1013,789,34,661,272,1102
211: 1146,484,619,100
212: 283,354,617,526,702,304
213: 838,548,283,617,363
214: 221,974,627,176,91,508,222
215: 663,607,813,167,716,856
216: 626,475,144,122,885,719
217: 873,435,326,607,430,167
1212: 920,359,862,1074,193
219: 679,469,1188,1050
220: 351,318,442,1197,7
221: 974,214,692,749,569,373,91
222: 1014,775,214,176,91,508,573
223: 71,180,244,519,1079,449
224: 50,233,767,810,517,568
225: 550,1185,696,345,1060,87
226: 807,833,65,33,1121,828
227: 36,835,843,339,683,714
228: 672,1173,420,267,560,631,709
229: 1055,652,186,655,864,68
230: 1038,959,401,955,1148,848
231: 53,481,897,924,903,195,796
232: 100,114,972,484,29,424
233: 50,224,235,568,73,56
234: 429,1136,20,914,475
235: 303,1113,50,233,56,976
236: 1006,249,257,15,872,476
237: 196,535,841,1216
238: 242,310,360,42,501,1098
239: 366,880,1208,545,765,120
240: 950,626,673,912,489,544
241: 1130,386,928,822,530,857
242: 238,360,250,825,42,934
243: 578,755,129,1172,1083,728
244: 432,324,14,71,223,1056,519
245: 407,171,561,973,82,621
246: 528,1022,606,669,63,790
247: 149,527,1049,823,1125,1100
248: 781,262,664,594,850,177
249: 236,1006,678,622,257,847
250: 825,985,888,882,934,242
251: 302,978,375,836,899,567
252: 1103,684,1042,321,10,1040
253: 152,312,910,879,880,868,977,342,120
254: 637,647,961,1100,386
255: 59,263,759,53,481,513
256: 650,769,209,320,953
257: 799,847,236,1006,249,15
258: 1133,952,1075,514,298,350
259: 190,400,39,379,387,148
260: 1170,440,778,597,357,1219
261: 26,165,112,520
262: 781,588,248,602,409,664
263: 59,678,255,759,713,84,628
264: 1135,927,980,451,701,688
265: 670,293,166
266: 119,70,381,783,1076,1151
267: 732,560,1025,228,709
268: 278,574,1147,83,595,791
269: 846,725,1073,343,364,197
270: 939,1057,1092,666,49,1098
271: 43,531,125,805,902
272: 1169,1109,1102,931,661,210
273: 1111,471,1155,438,565,425,1061
274: 52,557,461,755,129,1063
275: 208,1001,414,1033,45,366
276: 320,869,718,209
277: 145,400,318,379
278: 374,574,268,102,791,940
279: 448,406,383,576,1082,444
280: 66,1215,932,646
281: 494,450,61,69,380,168,391
282: 445,369,979,506,859,881
283: 212,354,617,838,389,213
284: 1085,30,917,118,158,927
285: 1071,446,832,49,1057,551,457
286: 999,157,382,920
287: 692,428,722,443,691,201,390,161
288: 42,934,542,1090,1054,705
289: 863,838,662,363,1091,741
290: 492,951,344,377,6,988
291: 1143,338,531,958
