208: 45,1065,508,645,146,1002
209: 256,990,769,718,320,276
210: 1274,1013,292,804,1073,519,432
211: 680,1146,484,100,1025
212: 617,526,205,354,283,1227
213: 548,98,617,396,283,363
214: 632,798,675,767,1081,508
215: 663,813,607,217,856
216: 626,719,144,475,122,885
217: 856,167,873,215,607,326
1212: 359,920,286,1282,1256
219: 385,469,25,793,963
220: 1249,160,970,442,318,351
221: 1081,810,1062,1075,1186,1068
222: 1148,1191,1107,175,50,976
223: 207,1015,244,449,432,627
224: 24,1124,1147,1035,278,374
225: 527,550,696,1034,345
226: 1291,483,65,33,376
227: 671,339,735,36,683,1293
1138: 437,107,1118,1136,1104
229: 541,652,864,186,136,655
230: 401,959
1234: 777,174,776,289
1293: 131,683,843,227,735
233: 417,1144,268,525,643,971,1153
234: 914,429,748,966,1224,721
235: 1026,923,175,1191
236: 564,872,476
237: 196,535,682,841
238: 242,63,985,825,40,834
1177: 1296,70,303
240: 912,1242,673,626,950,544
241: 956,857,871,386,647,637
242: 63,612,238,250,934,825
243: 728,129,274,456,755,168
244: 1137,1015,1274,789,432,223
1166: 821,1194,1130,1010,1004,684,723
246: 669,524,790,854,108,612
247: 1285,1140,1231,867,647
248: 177,615,1269,1039,850,328
249: 678,46,84,564,872,15
250: 882,108,242,612,934
251: 302,978,375,836,899,567
1268: 365,72,153,1247,613,319
1283: 501,1273,49,832,356
254: 647,637,1140,961,830
1131: 133,1053,714,1188
256: 769,209,320,953,998,650
1142: 1123,1093,1169,1071,101
258: 298,350,952,2,104,1264
259: 387,400,145,190,39,148
260: 597,1219,1170,440,778,357
261: 112,26,165
262: 781,588,1269,602,421,409
263: 759,713,84,628,678
264: 938,927,701
265: 670,1241,166,1218
266: 70,381,783,408,1164,119
267: 732,296,560,1303,1279
268: 1052,1016,1154,525,643,233
269: 846,1289,1073,1229,343
1150: 1075,1163,1115,1172,91,1096
271: 43,531,125,805,902
1274: 210,1013,789,244,432
273: 425,438,134,746,471,665
274: 243,129,1224,721,557,456
1191: 222,1148,89,235,175
276: 320,718,869,209
277: 379,400,970,145,318,411
278: 1035,224,19,374,568
279: 487,383,448,406
280: 66,1215,1175,932
281: 391,450,648,1258,380,1037
282: 94,412,850,62,369,979
283: 838,363,1227,213,212,617
284: 917,30,782,927,316
285: 1169,551,814,49,446
286: 999,382,157,704,1212,359
1190: 188,1178,413,794,686,297
288: 42,1250,1054,532
289: 1237,776,1245,1234
290: 988,6,377,344,492,951
291: 1143,338,531,958
