210: 1274,1013,1073,244,432,223
211: 680,1308,604,1220,1025
212: 617,526,205,354,283,1227
213: 396,98,548,617,283,363
214: 632,798,767,1081,508,675
215: 663,447,607,813,856,217
216: 626,719,144,475,122,885
217: 167,856,873,215,607,326
1212: 920,359,1256,704,286,1282
219: 1309,469,25,793,963
220: 1249,160,970,442,318,351
221: 1081,810,1075,1186,1068,1062
222: 50,1107,175,303,1148
223: 627,449,210,1015,244,432
224: 940,374,31,24,19,1058
225: 550,527,696,1034,345
226: 1291,483,1317,376
227: 671,339,735,36,683,1293
1138: 437,107,1118,1136,1104
229: 541,652,864,186,136,655
1121: 1291,452,575,1159,378
1234: 777,174,776,289
1293: 131,683,843,227,735
233: 417,971,1035,525,643,268
234: 914,429,748,966,721,1224
235: 955,923,401,175
1117: 1120,1157,88,41,1109,1129
237: 196,535,682,841
238: 242,63,985,40,825,834
1177: 303,70,119
240: 912,1242,673,626,950,544
241: 956,857,637,871,386,647
242: 63,612,238,934,825
243: 728,129,274,456,755,168
244: 1137,1015,661,1274,210,789,223
1166: 1130,1194,1010,1004,684,723
246: 669,524,790,854,108,393
247: 254,647,1140,1231,1285
248: 177,615,781,1269,328,850
249: 678,15,46,84,564,872
250: 625,882,108,479,612,934
251: 302,978,375,836,899,567
1268: 365,72,153,1247,319
1283: 501,1273,832,356,446
254: 647,247,1140,637,961,830
1131: 133,1053,714,1188
256: 769,209,320,953,998,650
1142: 101,1093,1169,1123,1071
258: 298,350,952,2,104,1264
259: 387,400,190,39,148
260: 597,1219,1170,440,778,357
261: 112,26,165
262: 781,588,1269,602,421,409
263: 759,713,84,678
1310: 532,288,1250
265: 670,1241,166,1218
266: 70,381,783,751,1164,119
267: 732,296,1303,560,1316,1279
268: 643,278,1078,1035,233
269: 846,1289,1229,364,343
1150: 1075,1163,1115,1172,91,1096
271: 43,531,125,805,902
1274: 210,1013,244
273: 425,438,134,746,471,665
274: 243,129,1224,557,456
1191: 89,191,923,1095,1026
276: 320,718,869,209
277: 379,400,970,145,318,411
278: 643,19,268,1078,1124
279: 487,406,448,383,1082,1199
280: 66,1215,1175,932
281: 1037,648,380,391,450
282: 94,412,850,62,862,369
283: 838,363,1227,212,617,213
284: 30,917,439
285: 1169,551,814,1094
286: 999,1282,382,157,704,1212
1190: 188,1178,1213,686,204,991
288: 42,310,1070,1310,1116
289: 1237,776,1245,1234
290: 988,377
291: 1143,338,531,958
292: 1229,553,1013,1073
293: 1241,1309,385,1188,133,670
